Scottish Council Area 2011,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S12000033,103371,25901,32560,748,20942,4242,15630,1952,1396
S12000034,104714,36486,39167,397,12541,4353,8758,1110,1902
S12000041,51616,16875,16486,139,7771,3323,5287,703,1032
S12000035,40125,15103,11417,158,0,7586,4056,972,833
S12000005,22734,6027,8013,66,4743,1759,1671,205,250
S12000006,67980,25270,18055,288,0,13356,8070,1120,1821
S12000042,69193,15971,18609,305,12826,7971,11906,1015,590
S12000008,53919,14062,19276,60,12610,2969,3953,459,530
S12000045,43473,17288,18003,73,3699,1520,2233,278,379
S12000010,42905,12424,15420,230,8090,2081,3666,408,586
S12000011,37225,14308,16123,93,3115,1205,1820,247,314
S12000036,223051,60420,71057,1342,20305,17651,45689,4189,2398
S12000013,12576,5894,3277,20,0,2212,667,191,315
S12000014,68732,17751,26567,164,15539,3056,4449,546,660
S12000015,160952,47316,56381,569,29009,7948,15727,2224,1778
S12000046,285693,48667,79769,1781,0,104811,43814,4205,2646
S12000017,102091,36716,31119,765,13453,5865,10079,1714,2380
S12000018,37434,9876,13105,183,0,10093,3527,415,235
S12000019,34978,9633,12960,109,6530,2787,2144,434,381
S12000020,40062,13970,12344,95,5662,2091,3843,1213,844
S12000021,62498,17796,20940,135,13426,3997,5055,597,552
S12000044,145998,31376,57126,370,37363,8053,9619,1086,1005
S12000023,9725,4292,2466,155,757,588,902,193,372
S12000024,64777,22099,20112,483,7473,3647,8534,940,1489
S12000038,80902,20520,31692,186,12712,7161,7325,749,557
S12000026,52498,17447,14674,180,0,11450,6427,785,1535
S12000027,9950,3727,2709,70,1858,498,698,156,234
S12000028,51286,18041,17271,104,8092,1743,4813,549,673
S12000029,139188,37920,56841,294,25526,5962,10178,1208,1259
S12000030,37566,12076,12658,144,5559,1910,4060,531,628
S12000039,42167,8981,14160,266,10332,5376,2431,346,275
S12000040,73398,16410,29818,196,12812,6410,6428,693,631
